Date,TS1-S_370,TS2-S_376,TS3-S_21885,TS4-S_434,TS5-S_445,TS6-S_21895
2/14/2011,430.6731,1537.9673,2088.785,2562.178,785.3195,1042.5986
2/27/2011,438.73083,1542.4722,1938.1299,2551.9534,951.9052,924.4761
3/14/2011,456.11014,1549.1416,1766.7354,2524.348,1155.9274,746.6801
3/30/2011,461.11536,1621.5492,1676.0245,2545.5125,1296.4703,865.35425
4/14/2011,471.8449,1715.5822,1677.1017,2640.3342,1413.4153,1282.8013
4/29/2011,487.2069,1746.9332,1607.453,2646.3198,1601.428,1239.0427
5/14/2011,523.04816,1760.2008,1535.8759,2747.437,1581.4457,1175.4518
5/30/2011,534.4601,1687.1647,1437.1166,2763.9077,1567.6062,1080.9587
6/14/2011,538.7929,1541.1953,1492.6116,2680.8547,1530.2521,1016.06464
6/29/2011,525.93567,1396.2659,1643.0509,2563.61,1459.4219,917.8187
7/14/2011,519.2576,1303.0295,1742.682,2473.4932,1375.407,790.2566
7/30/2011,518.9721,1266.8126,1737.3018,2352.595,1245.9336,698.42566
8/14/2011,513.66907,1249.8936,1769.7665,2243.895,1116.7998,833.62897
8/30/2011,515.9116,1436.623,1873.6285,2139.5476,988.1675,1000.9441
9/14/2011,512.4729,1640.3076,1970.0426,2006.271,878.575,1227.246
9/29/2011,526.0262,1920.6863,2178.5505,1858.6171,779.8192,1552.5204
10/14/2011,542.20703,2119.927,2344.3655,1702.4458,704.412,1830.6891
10/30/2011,564.98566,2134.2134,2377.7332,1568.8395,500.419,1892.9957
11/14/2011,606.96906,2215.4988,2362.8706,1499.0693,428.5952,1759.859
11/29/2011,593.8366,2172.8308,2342.701,1618.5378,479.03445,1739.4879
12/14/2011,590.8327,2090.7493,2323.4119,2139.0754,749.2326,1743.1125
12/30/2011,578.85846,2051.2153,2253.805,2525.7239,983.41376,1703.7537
1/14/2012,551.30914,1917.3468,2152.4006,2898.038,1211.1965,1535.1399
1/30/2012,529.44385,1856.0477,1973.4109,2968.6345,1340.1057,1388.0901
2/14/2012,512.506,1808.4688,1885.5543,2916.6765,1389.7614,1251.1171
2/27/2012,500.5757,1772.4965,1796.6816,2862.37065,1377.98415,1093.81505
3/14/2012,496.6327,1789.5956,1712.2535,2716.5603,1330.5941,979.38983
3/30/2012,496.81854,1769.9235,1557.8131,2553.729,1296.894,1050.312
4/14/2012,493.62936,1750.021,1469.452,2533.9124,1246.3342,1111.5535
4/29/2012,504.1265,1809.319,1417.8379,2615.9817,1515.2754,1171.9775
5/14/2012,541.0691,1848.4989,1330.1359,2596.007,2032.5884,1115.7842
